datetime,1,3,5,7,9
1984-04-21 23:00:00,5.859520700242784e-08,3.5114315924821075e-08,3.193898885338395e-08,0.0,1.6013361789562085e-08
1984-04-22 23:00:00,1.5159849767331724e-07,9.367543238180655e-08,1.0631875859366523e-07,0.0,2.6347697884948165e-08
1984-04-23 23:00:00,5.4953881987818964e-08,4.078616146688108e-08,4.043679546426844e-08,0.0,1.679340308463132e-08
1984-04-24 23:00:00,1.1782978695851785e-08,1.3486331811657659e-08,1.0449682810792216e-08,1.4793155369935213e-08,2.0398372025401504e-08
1984-04-25 23:00:00,4.0033242354790366e-09,7.86030803013731e-09,1.4273659498603256e-08,1.1957450597374527e-09,2.8469815367349873e-09
1984-04-26 23:00:00,3.5606290179270284e-09,4.705496270347525e-09,3.85999093177142e-09,3.2034405955561885e-09,9.009858110436687e-09
1984-04-27 23:00:00,2.5281222123238774e-09,2.6766443625092507e-09,2.7412733201075483e-09,0.0,1.5592806179214406e-09
1984-04-28 23:00:00,3.5047544925301162e-09,2.7536704308456844e-09,2.270906956659423e-09,0.0,3.35888523194525e-09
1984-04-29 23:00:00,5.225619232213056e-09,4.814388230443001e-09,4.197203519719618e-09,0.0,2.8600966281912945e-09
1984-04-30 23:00:00,1.0730751134731151e-07,1.2817755893424704e-07,1.0019222895304362e-07,8.881776973053261e-08,1.1027402347988553e-07
1984-05-01 23:00:00,3.927448060777452e-07,3.3608416716257734e-07,3.5439908504486084e-07,9.54167158515365e-08,1.4181680149502225e-07
1984-05-02 23:00:00,7.491684070339909e-08,6.065496140056187e-08,6.510872531820227e-08,0.0,1.3562411897712283e-08
1984-05-03 23:00:00,3.3142747702421964e-07,3.053427404827542e-07,2.944997504905418e-07,1.407929371904444e-07,1.7790298770975184e-07
1984-05-04 23:00:00,2.4938961422001873e-08,2.6532193576848066e-08,2.6324399643474154e-08,0.0,4.3784081935882565e-09
1984-05-05 23:00:00,6.313202557740388e-09,8.200196618283236e-09,6.538760606889372e-09,1.1794300818884814e-08,1.457740863164266e-08
1984-05-06 23:00:00,9.738073028900006e-09,8.312329236004088e-09,6.90312918137621e-09,0.0,2.37166467640135e-09
1984-05-07 23:00:00,4.9613808040265685e-08,3.4494535238654523e-08,3.18868237513083e-08,0.0,5.208224541059247e-09
1984-05-08 23:00:00,1.5459456929454098e-07,1.0904179679022895e-07,1.4076720785211633e-07,0.0,6.918185562999161e-09
1984-05-09 23:00:00,1.6821365665506433e-07,1.2745722576423928e-07,1.838298969798618e-07,0.0,5.200854675085456e-09
1984-05-10 23:00:00,7.216289087578103e-08,6.885843696417632e-08,9.085800360750269e-08,0.0,3.1140367328016846e-09
1984-05-11 23:00:00,5.710686136175085e-07,5.185204523581045e-07,7.022898726993137e-07,6.143974485220732e-08,7.56961272822486e-08
1984-05-12 23:00:00,1.799905300140381e-07,2.2645056247711181e-07,2.730552134690461e-07,7.974211540487078e-10,4.993980681454694e-09
1984-05-13 23:00:00,2.058530295336688e-07,2.138909587153682e-07,2.887771306214509e-07,1.4003720824365263e-08,1.6601414040282922e-08
1984-05-14 23:00:00,2.0591813105124015e-07,2.1559112601810032e-07,2.8946671220991345e-07,1.796154788246861e-08,2.1964809684841722e-08
1984-05-15 23:00:00,2.4011286872404593e-08,2.9654969219808226e-08,2.0493971252882923e-08,4.111947836699309e-08,4.516756920902817e-08
1984-05-16 23:00:00,1.3944648758128838e-08,9.628408071067597e-09,1.0518161235032259e-08,0.0,4.1096281536199427e-10
1984-05-17 23:00:00,3.661717253702658e-08,3.816252229390321e-08,4.913364847501119e-08,0.0,3.673194441944361e-10
1984-05-18 23:00:00,8.704172240363227e-08,9.208961217491716e-08,1.290258213325783e-07,0.0,4.605010703757957e-10
1984-05-19 23:00:00,2.2286095001079417e-07,2.541620201534695e-07,3.663755787743462e-07,0.0,9.098371352862428e-10
1984-05-20 23:00:00,1.2526886330710518e-07,1.4347138228239836e-07,2.0401095902478254e-07,0.0,5.675225380670141e-10
1984-05-21 23:00:00,2.1625075627256324e-08,3.16108790812669e-08,4.150576061672635e-08,0.0,2.0138951691074503e-10
1984-05-22 23:00:00,1.0957683678026553e-07,1.4749804028758296e-07,2.0159825130745217e-07,0.0,4.4998505877123936e-10
1984-05-23 23:00:00,1.846991424207334e-07,2.434169583850437e-07,3.164928047745316e-07,2.32484577982514e-08,2.665942465817487e-08
1984-05-24 23:00:00,2.6873374978701273e-08,3.908382245787868e-08,5.3593897157245215e-08,0.0,1.6420137533849036e-10
1984-05-25 23:00:00,1.2767870117116857e-07,1.723855181976601e-07,2.4467574225531686e-07,1.2283337612946829e-09,1.7519883328565846e-09
1984-05-26 23:00:00,1.6275072539294209e-07,2.3273518791905157e-07,3.1760385742893923e-07,4.5178057916928086e-12,2.964203142457538e-10
1984-05-27 23:00:00,3.7233506639798484e-08,7.392729874010439e-08,9.438112930015282e-08,0.0,9.814819484880125e-11
1984-05-28 23:00:00,4.975102565906666e-08,1.1943840318255955e-07,1.4050197822076304e-07,0.0,0.0
1984-05-29 23:00:00,9.196594909385398e-08,1.781092197806747e-07,2.065677113003201e-07,1.9835960809831267e-08,2.3407155164965876e-08
1984-05-30 23:00:00,1.3042761219872367e-07,2.396251316423769e-07,3.295593570779871e-07,0.0,0.0
1984-05-31 23:00:00,4.927310057812267e-09,1.0834776416972832e-08,1.4267761122297357e-08,0.0,0.0
1984-06-01 23:00:00,1.2616255769023189e-08,2.1431058369300982e-08,2.9619038105010987e-08,0.0,0.0
1984-06-02 23:00:00,2.1799296416618205e-08,4.342862853297481e-08,6.114876932568021e-08,0.0,0.0
1984-06-03 23:00:00,4.086926579475403e-08,8.578344075768082e-08,1.1764758163028293e-07,0.0,0.0
1984-06-04 23:00:00,2.044535787017257e-07,4.45810423956977e-07,4.932287445774784e-07,1.2033984616950707e-07,1.133243684415464e-07
1984-06-05 23:00:00,1.3961997297075059e-07,2.8598006124849674e-07,2.913020054499308e-07,8.675979795279326e-08,8.936807513237e-08
1984-06-06 23:00:00,1.4338735077116223e-07,2.858625738709061e-07,2.9334198545526576e-07,9.311988397880837e-08,9.554804475219161e-08
1984-06-07 23:00:00,1.0840843121210734e-07,3.035004492159243e-07,2.7858453768270987e-07,8.591437781298602e-08,9.407000409232246e-08
1984-06-08 23:00:00,8.090995252132416e-09,1.5358971776785675e-08,2.4347178362033985e-08,1.1556878410003803e-09,8.050103119953915e-10
1984-06-09 23:00:00,6.935828261905246e-08,5.362913012504578e-08,6.233422292603386e-08,4.449825595926355e-08,4.421773056189219e-08
1984-06-10 23:00:00,1.5976702725445783e-07,2.3985820787924306e-07,2.6335166560279e-07,1.3122258362946688e-07,1.3859164935571175e-07
1984-06-11 23:00:00,2.1196791419276485e-08,6.741919451289706e-08,8.344377632494326e-08,1.0848900786152593e-08,1.0701042634469491e-08
1984-06-12 23:00:00,7.340823058728818e-08,1.636865183159157e-07,1.7335980026810258e-07,5.917288638927318e-08,6.371936864323087e-08
1984-06-13 23:00:00,9.40736590160264e-09,6.800081994798448e-08,8.22085197325106e-08,7.844242780400371e-11,1.0940404953779997e-09
1984-06-14 23:00:00,1.0844557373612015e-08,8.447957259637338e-08,9.074716104401482e-08,0.0,0.0
1984-06-15 23:00:00,1.0906152151249073e-07,1.111435779818782e-07,1.3697263267305162e-07,2.7086530570630673e-08,2.9388751696657252e-08
1984-06-16 23:00:00,3.7958804104063245e-08,9.680849534493905e-08,1.2172193438918502e-07,1.4522318486814145e-08,1.1436036201538863e-08
1984-06-17 23:00:00,6.4414649925850055e-09,5.927979946136475e-08,6.488270781658314e-08,0.0,0.0
1984-06-18 23:00:00,9.782049391004774e-08,1.8920889607182255e-07,1.9943985674116346e-07,5.7064570762492995e-08,5.445819762017992e-08
1984-06-19 23:00:00,2.4076885647243923e-07,2.7865555551317004e-07,2.5192995866139727e-07,2.2194809383816188e-07,2.66821163671988e-07
